permno,adate,qdate,public_date,pe_exi,npm,opmad,roa,roe,de_ratio,intcov_ratio,curr_ratio,TICKER
15720,2015-12-31,2016-03-31,2016-05-31,24.447,0.094,0.168,0.076,0.057,2.765,3.478,0.664,EIX
15720,2015-12-31,2016-03-31,2016-06-30,26.509,0.094,0.168,0.076,0.057,2.765,3.478,0.664,EIX
15720,2015-12-31,2016-03-31,2016-07-31,26.410,0.094,0.168,0.076,0.057,2.765,3.478,0.664,EIX
15720,2015-12-31,2016-06-30,2016-08-31,27.650,0.087,0.157,0.073,0.052,2.736,3.185,0.590,EIX
15720,2015-12-31,2016-06-30,2016-09-30,27.471,0.087,0.157,0.073,0.052,2.736,3.185,0.590,EIX
15720,2015-12-31,2016-06-30,2016-10-31,27.939,0.087,0.157,0.073,0.052,2.736,3.185,0.590,EIX
15720,2015-12-31,2016-09-30,2016-11-30,24.917,0.091,0.164,0.075,0.054,2.716,3.292,0.526,EIX
15720,2015-12-31,2016-09-30,2016-12-31,26.083,0.091,0.164,0.075,0.054,2.716,3.292,0.526,EIX
15720,2015-12-31,2016-09-30,2017-01-31,26.406,0.091,0.164,0.075,0.054,2.716,3.292,0.526,EIX
15720,2016-12-31,2016-12-31,2017-02-28,20.239,0.120,0.176,0.081,0.073,2.617,3.464,0.359,EIX
15720,2016-12-31,2016-12-31,2017-03-31,20.206,0.120,0.176,0.081,0.073,2.617,3.464,0.359,EIX
15720,2016-12-31,2016-12-31,2017-04-30,20.297,0.120,0.176,0.081,0.073,2.617,3.464,0.359,EIX
15720,2016-12-31,2017-03-31,2017-05-31,19.468,0.127,0.178,0.081,0.076,2.663,3.567,0.453,EIX
15720,2016-12-31,2017-03-31,2017-06-30,18.661,0.127,0.178,0.081,0.076,2.663,3.567,0.453,EIX
15720,2016-12-31,2017-03-31,2017-07-31,18.778,0.127,0.178,0.081,0.076,2.663,3.567,0.453,EIX
15720,2016-12-31,2017-06-30,2017-08-31,19.182,0.124,0.182,0.082,0.075,2.623,3.625,0.460,EIX
15720,2016-12-31,2017-06-30,2017-09-30,18.462,0.124,0.182,0.082,0.075,2.623,3.625,0.460,EIX
15720,2016-12-31,2017-06-30,2017-10-31,19.127,0.124,0.182,0.082,0.075,2.623,3.625,0.460,EIX
15720,2016-12-31,2017-09-30,2017-11-30,18.726,0.129,0.172,0.079,0.076,2.620,3.308,0.466,EIX
15720,2016-12-31,2017-09-30,2017-12-31,14.571,0.129,0.172,0.079,0.076,2.620,3.308,0.466,EIX
15720,2016-12-31,2017-09-30,2018-01-31,14.408,0.129,0.172,0.079,0.076,2.620,3.308,0.466,EIX
15720,2017-12-31,2017-12-31,2018-02-28,35.227,0.056,0.179,0.082,0.038,2.791,3.312,0.528,EIX
15720,2017-12-31,2017-12-31,2018-03-31,37.012,0.056,0.179,0.082,0.038,2.791,3.312,0.528,EIX
15720,2017-12-31,2017-12-31,2018-04-30,38.093,0.056,0.179,0.082,0.038,2.791,3.312,0.528,EIX
15720,2017-12-31,2018-03-31,2018-05-31,48.563,0.044,0.169,0.078,0.027,2.688,3.192,0.553,EIX
15720,2017-12-31,2018-03-31,2018-06-30,49.430,0.044,0.169,0.078,0.027,2.688,3.192,0.553,EIX
15720,2017-12-31,2018-03-31,2018-07-31,52.055,0.044,0.169,0.078,0.027,2.688,3.192,0.553,EIX
15720,2017-12-31,2018-06-30,2018-08-31,51.756,0.044,0.167,0.076,0.029,2.744,3.015,0.578,EIX
15720,2017-12-31,2018-06-30,2018-09-30,53.291,0.044,0.167,0.076,0.029,2.744,3.015,0.578,EIX
15720,2017-12-31,2018-06-30,2018-10-31,54.638,0.044,0.167,0.076,0.029,2.744,3.015,0.578,EIX
15720,2017-12-31,2018-09-30,2018-11-30,39.234,0.045,0.173,0.078,0.033,2.765,3.166,0.626,EIX
15720,2017-12-31,2018-09-30,2018-12-31,40.262,0.045,0.173,0.078,0.033,2.765,3.166,0.626,EIX
15720,2017-12-31,2018-09-30,2019-01-31,40.404,0.045,0.173,0.078,0.033,2.765,3.166,0.626,EIX
15720,2018-12-31,2018-12-31,2019-02-28,-42.779,-0.027,0.172,0.074,-0.021,3.483,2.801,0.623,EIX
15720,2018-12-31,2018-12-31,2019-03-31,-44.229,-0.027,0.172,0.074,-0.021,3.483,2.801,0.623,EIX
15720,2018-12-31,2018-12-31,2019-04-30,-45.550,-0.027,0.172,0.074,-0.021,3.483,2.801,0.623,EIX
15720,2018-12-31,2019-03-31,2019-05-31,-48.268,-0.021,0.165,0.075,-0.017,3.137,2.817,0.686,EIX
15720,2018-12-31,2019-03-31,2019-06-30,-54.805,-0.021,0.165,0.075,-0.017,3.137,2.817,0.686,EIX
15720,2018-12-31,2019-03-31,2019-07-31,-60.602,-0.021,0.165,0.075,-0.017,3.137,2.817,0.686,EIX
15720,2018-12-31,2019-06-30,2019-08-31,-83.069,-0.012,0.172,0.071,-0.010,3.348,2.811,0.694,EIX
15720,2018-12-31,2019-06-30,2019-09-30,-86.690,-0.012,0.172,0.071,-0.010,3.348,2.811,0.694,EIX
15720,2018-12-31,2019-06-30,2019-10-31,-72.299,-0.012,0.172,0.071,-0.010,3.348,2.811,0.694,EIX
