,permno,public_date,pe_exi,npm,opmad,roa,roe,de_ratio,intcov_ratio,curr_ratio,TICKER,year,Revenue,EPS
12210,48725,2020-03-31,16.831,0.273,0.392,0.177,0.191,2.402,8.094,0.795,UNP,2020,19533.0,7.9
12211,48725,2020-04-30,19.068,0.273,0.392,0.177,0.191,2.402,8.094,0.795,UNP,2020,19533.0,7.9
12212,48725,2020-05-31,19.728,0.278,0.405,0.177,0.202,2.521,8.07,0.801,UNP,2020,19533.0,7.9
12213,48725,2020-06-30,19.636,0.278,0.405,0.177,0.202,2.521,8.07,0.801,UNP,2020,19533.0,7.9
12214,48725,2020-07-31,20.134,0.278,0.405,0.177,0.202,2.521,8.07,0.801,UNP,2020,19533.0,7.9
12215,48725,2020-08-31,23.876,0.275,0.403,0.167,0.189,2.637,7.336,0.871,UNP,2020,19533.0,7.9
12216,48725,2020-09-30,24.426,0.275,0.403,0.167,0.189,2.637,7.336,0.871,UNP,2020,19533.0,7.9
12217,48725,2020-10-31,21.984,0.275,0.403,0.167,0.189,2.637,7.336,0.871,UNP,2020,19533.0,7.9
12218,48725,2020-11-30,25.997,0.274,0.405,0.163,0.184,2.706,7.027,0.914,UNP,2020,19533.0,7.9
12219,48725,2020-12-31,26.525,0.274,0.405,0.163,0.184,2.706,7.027,0.914,UNP,2020,19533.0,7.9
12220,48725,2021-01-31,25.155,0.274,0.405,0.163,0.184,2.706,7.027,0.914,UNP,2021,21804.0,9.98
12221,48725,2021-02-28,26.137,0.274,0.415,0.166,0.18,2.68,7.166,1.01,UNP,2021,21804.0,9.98
12222,48725,2021-03-31,27.971,0.274,0.415,0.166,0.18,2.68,7.166,1.01,UNP,2021,21804.0,9.98
12223,48725,2021-04-30,28.184,0.274,0.415,0.166,0.18,2.68,7.166,1.01,UNP,2021,21804.0,9.98
12224,48725,2021-05-31,29.072,0.27,0.412,0.162,0.181,2.761,6.96,0.947,UNP,2021,21804.0,9.98
12225,48725,2021-06-30,28.451,0.27,0.412,0.162,0.181,2.761,6.96,0.947,UNP,2021,21804.0,9.98
12226,48725,2021-07-31,28.3,0.27,0.412,0.162,0.181,2.761,6.96,0.947,UNP,2021,21804.0,9.98
12227,48725,2021-08-31,24.697,0.286,0.427,0.175,0.203,2.863,7.723,0.922,UNP,2021,21804.0,9.98
12228,48725,2021-09-30,22.325,0.286,0.427,0.175,0.203,2.863,7.723,0.922,UNP,2021,21804.0,9.98
12229,48725,2021-10-31,27.494,0.286,0.427,0.175,0.203,2.863,7.723,0.922,UNP,2021,21804.0,9.98
12230,48725,2021-11-30,25.229,0.292,0.433,0.182,0.217,3.047,8.047,0.838,UNP,2021,21804.0,9.98
12231,48725,2021-12-31,26.973,0.292,0.433,0.182,0.217,3.047,8.047,0.838,UNP,2021,21804.0,9.98
12232,48725,2022-01-31,26.183,0.292,0.433,0.182,0.217,3.047,8.047,0.838,UNP,2022,24875.0,11.24
